home_team,away_team,tournament_rank,home_rank,away_rank,home_team_gd,away_team_gd,target
Kuwait,Australia,1,55,21,-57,24,0
Thailand,Jordan,1,52,40,-50,-23,0
United Arab Emirates,Malaysia,1,41,53,9,-76,1
Zambia,South Korea,1,46,20,-25,44,1
Egypt,Nigeria,1,25,30,1,-12,1
Zambia,Tunisia,1,46,32,-25,-6,0
Ivory Coast,Ghana,1,31,44,0,-12,1
Cameroon,Zambia,1,33,46,-23,-25,1
Chile,Panama,1,37,24,10,-74,1
Oman,Sweden,1,45,23,-31,-1,0
Thailand,Poland,1,52,27,-50,-33,0
Cameroon,Tunisia,1,33,32,-23,-6,0
United States,Honduras,1,14,50,57,-86,0
Ivory Coast,Algeria,1,31,26,0,7,0
Egypt,Cameroon,1,25,33,1,-23,1
Zambia,Nigeria,1,46,30,-25,-12,0
Argentina,Costa Rica,1,1,28,108,-58,1
Algeria,Egypt,1,26,25,7,1,0
Ghana,Nigeria,1,44,30,-12,-12,1
Nigeria,Algeria,1,30,26,-12,7,1
Ghana,Egypt,1,44,25,-12,1,0
Japan,China PR,1,16,51,97,-47,0
Argentina,Jamaica,1,1,42,108,-79,1
China PR,South Korea,1,51,20,-47,44,1
Japan,South Korea,1,16,20,97,44,0
United States,El Salvador,1,14,47,57,-93,1
Kuwait,Bahrain,1,55,49,-57,-54,1
Belgium,Croatia,1,8,10,63,-5,0
England,Egypt,1,4,25,42,1,1
France,Spain,1,3,2,72,103,0
Germany,Argentina,1,9,1,52,108,0
Iran,Thailand,1,18,52,45,-50,1
Italy,Cameroon,1,11,33,-2,-23,0
Ivory Coast,South Korea,1,31,20,0,44,0
Japan,Bahrain,1,16,49,97,-54,1
Netherlands,United States,1,7,14,47,57,1
Oman,Kuwait,1,45,55,-31,-57,0
Portugal,China PR,1,6,51,77,-47,1
Switzerland,Uruguay,1,17,15,4,45,0
Turkey,Honduras,1,22,50,-20,-86,1
Uzbekistan,United Arab Emirates,1,35,41,-4,9,0
Mexico,Iceland,1,12,43,62,-81,0
South Africa,Jamaica,1,36,42,-7,-79,1
Mexico,Chile,1,12,37,62,10,1
South Africa,Thailand,1,36,52,-7,-50,1
England,Mexico,1,4,12,42,62,1
Japan,South Korea,1,16,20,97,44,0
Nigeria,Saudi Arabia,1,30,39,-12,-20,0
Chile,Zambia,1,37,46,10,-25,1
Estonia,Croatia,1,54,10,-118,-5,0
France,Costa Rica,1,3,28,72,-58,1
Netherlands,Mexico,1,7,12,47,62,1
South Africa,Colombia,1,36,13,-7,66,1
Spain,Saudi Arabia,1,2,39,103,-20,1
United States,Turkey,1,14,22,57,-20,1
Japan,England,1,16,4,97,42,0
Nigeria,Colombia,1,30,13,-12,66,0
Tunisia,France,1,32,3,-6,72,0
Australia,Denmark,1,21,19,24,-9,1
Netherlands,Ghana,1,7,44,47,-12,1
Portugal,Cameroon,1,6,33,77,-23,1
Switzerland,Costa Rica,1,17,28,4,-58,0
Italy,Mexico,1,11,12,-2,62,0
Spain,South Korea,1,2,20,103,44,1
France,China PR,1,3,51,72,-47,0
Japan,Ivory Coast,1,16,31,97,0,0
Algeria,United Arab Emirates,1,26,41,7,9,1
Australia,United States,1,21,14,24,57,0
South Africa,Denmark,1,36,19,-7,-9,1
Switzerland,Italy,1,17,11,4,-2,0
Spain,Poland,1,2,27,103,-33,1
South Africa,Mexico,3,36,12,-7,62,0
Uruguay,France,3,15,3,45,72,0
Argentina,Nigeria,3,1,30,108,-12,1
England,United States,3,4,14,42,57,0
Germany,Australia,3,9,21,52,24,1
Japan,Cameroon,3,16,33,97,-23,1
Netherlands,Denmark,3,7,19,47,-9,1
Ivory Coast,Portugal,3,31,6,0,77,0
Honduras,Chile,3,50,37,-86,10,0
South Africa,Uruguay,3,36,15,-7,45,0
Spain,Switzerland,3,2,17,103,4,0
Argentina,South Korea,3,1,20,108,44,1
France,Mexico,3,3,12,72,62,0
England,Algeria,3,4,26,42,7,0
Cameroon,Denmark,3,33,19,-23,-9,0
Ghana,Australia,3,44,21,-12,24,0
Netherlands,Japan,3,7,16,47,97,1
Brazil,Ivory Coast,3,5,31,187,0,1
Chile,Switzerland,3,37,17,10,4,1
Spain,Honduras,3,2,50,103,-86,1
Mexico,Uruguay,3,12,15,62,45,0
Nigeria,South Korea,3,30,20,-12,44,0
South Africa,France,3,36,3,-7,72,1
Ghana,Germany,3,44,9,-12,52,0
United States,Algeria,3,14,26,57,7,1
Cameroon,Netherlands,3,33,7,-23,47,0
Denmark,Japan,3,19,16,-9,97,0
Chile,Spain,3,37,2,10,103,0
Portugal,Brazil,3,6,5,77,187,0
Switzerland,Honduras,3,17,50,4,-86,0
Uruguay,South Korea,3,15,20,45,44,1
United States,Ghana,3,14,44,57,-12,0
Argentina,Mexico,3,1,12,108,62,1
Germany,England,3,9,4,52,42,1
Brazil,Chile,3,5,37,187,10,1
Spain,Portugal,3,2,6,103,77,1
Netherlands,Brazil,3,7,5,47,187,1
Uruguay,Ghana,3,15,44,45,-12,0
Argentina,Germany,3,1,9,108,52,0
Uruguay,Netherlands,3,15,7,45,47,0
Germany,Spain,3,9,2,52,103,0
Uruguay,Germany,3,15,9,45,52,0
Netherlands,Spain,3,7,2,47,103,0
Italy,Ivory Coast,1,11,31,-2,0,0
United States,Brazil,1,14,5,57,187,0
China PR,Bahrain,1,51,49,-47,-54,0
Denmark,Germany,1,19,9,-9,52,0
South Korea,Nigeria,1,20,30,44,-12,1
Mexico,Spain,1,12,2,62,103,0
Poland,Cameroon,1,27,33,-33,-23,0
South Africa,Ghana,1,36,44,-7,-12,1
Uganda,Zambia,1,48,46,-31,-25,0
Belgium,Germany,1,8,9,63,52,0
China PR,Iran,1,51,18,-47,45,0
Estonia,Italy,1,54,11,-118,-2,0
Oman,Malaysia,1,45,53,-31,-76,1
Panama,Costa Rica,1,24,28,-74,-58,0
Qatar,Bahrain,1,34,49,-1,-54,0
Switzerland,Australia,1,17,21,4,24,0
El Salvador,Honduras,1,47,50,-93,-86,0
Jamaica,Costa Rica,1,42,28,-79,-58,1
Argentina,Spain,1,1,2,108,103,1
Denmark,Iceland,1,19,43,-9,-81,1
Estonia,Uzbekistan,1,54,35,-118,-4,0
Jamaica,Peru,1,42,29,-79,-42,0
South Korea,Iran,1,20,18,44,45,0
Mexico,Colombia,1,12,13,62,66,1
Poland,Australia,1,27,21,-33,24,0
Qatar,Oman,1,34,45,-1,-31,0
Switzerland,England,1,17,4,4,42,0
Turkey,Belgium,1,22,8,-20,63,1
United Arab Emirates,Kuwait,1,41,55,9,-57,1
Jordan,Iraq,1,40,38,-23,-42,1
Jordan,Bahrain,1,40,49,-23,-54,1
Iraq,Oman,1,38,45,-42,-31,1
Iran,Bahrain,1,18,49,45,-54,1
Bahrain,Oman,1,49,45,-54,-31,1
Jordan,Kuwait,1,40,55,-23,-57,0
Oman,Iran,1,45,18,-31,45,0
Iran,Iraq,1,18,38,45,-42,1
Iran,Kuwait,1,18,55,45,-57,0
Iran,Brazil,1,18,5,45,187,0
Germany,Turkey,1,9,22,52,-20,1
Japan,Argentina,1,16,1,97,108,1
Kuwait,Bahrain,1,55,49,-57,-54,0
Panama,El Salvador,1,24,47,-74,-93,1
Peru,Costa Rica,1,29,28,-42,-58,1
Portugal,Denmark,1,6,19,77,-9,1
Saudi Arabia,Uzbekistan,1,39,35,-20,-4,1
United Arab Emirates,Chile,1,41,37,9,10,0
United States,Poland,1,14,27,57,-33,0
Bahrain,Uzbekistan,1,49,35,-54,-4,0
China PR,Uruguay,1,51,15,-47,45,0
Costa Rica,El Salvador,1,28,47,-58,-93,1
Iceland,Portugal,1,43,6,-81,77,0
South Korea,Japan,1,20,16,44,97,0
Netherlands,Sweden,1,7,23,47,-1,1
Oman,Chile,1,45,37,-31,10,0
Panama,Peru,1,24,29,-74,-42,1
Qatar,Iraq,1,34,38,-1,-42,0
United States,Colombia,1,14,13,57,66,0
Bahrain,Uganda,1,49,48,-54,-31,0
Saudi Arabia,Uganda,1,39,48,-20,-31,0
Argentina,Brazil,1,1,5,108,187,1
Chile,Uruguay,1,37,15,10,45,1
Colombia,Peru,1,13,29,66,-42,0
Egypt,Australia,1,25,21,1,24,1
England,France,1,4,3,42,72,0
Iraq,Kuwait,1,38,55,-42,-57,0
Jamaica,Costa Rica,1,42,28,-79,-58,0
Netherlands,Turkey,1,7,22,47,-20,1
Panama,Honduras,1,24,50,-74,-86,1
Poland,Ivory Coast,1,27,31,-33,0,1
Portugal,Spain,1,6,2,77,103,1
Saudi Arabia,Ghana,1,39,44,-20,-12,0
South Africa,United States,1,36,14,-7,57,0
Sweden,Germany,1,23,9,-1,52,0
Kuwait,Qatar,1,55,34,-57,-1,1
Iraq,United Arab Emirates,1,38,41,-42,9,0
Oman,Bahrain,1,45,49,-31,-54,0
Saudi Arabia,Kuwait,1,39,55,-20,-57,0
Bahrain,Iraq,1,49,38,-54,-42,0
United Arab Emirates,Oman,1,41,45,9,-31,0
Qatar,Saudi Arabia,1,34,39,-1,-20,0
Oman,Iraq,1,45,38,-31,-42,0
United Arab Emirates,Bahrain,1,41,49,9,-54,1
Kuwait,Iraq,1,55,38,-57,-42,0
United Arab Emirates,Saudi Arabia,1,41,39,9,-20,0
Thailand,Malaysia,1,52,53,-50,-76,0
Kuwait,Saudi Arabia,1,55,39,-57,-20,1
Qatar,Egypt,1,34,25,-1,1,1
China PR,Estonia,1,51,54,-47,-118,1
Honduras,Panama,1,50,24,-86,-74,1
Qatar,Estonia,1,34,54,-1,-118,1
Bahrain,Uzbekistan,1,49,35,-54,-4,0
Bahrain,Jordan,1,49,40,-54,-23,1
Saudi Arabia,Iraq,1,39,38,-20,-42,0
Kuwait,Zambia,1,55,46,-57,-25,1
Iraq,China PR,1,38,51,-42,-47,0
Jordan,Uzbekistan,1,40,35,-23,-4,0
United Arab Emirates,Australia,1,41,21,9,24,0
Qatar,Uzbekistan,1,34,35,-1,-4,0
Egypt,Uganda,1,25,48,1,-31,1
Kuwait,China PR,1,55,51,-57,-47,0
Japan,Jordan,1,16,40,97,-23,0
South Korea,Bahrain,1,20,49,44,-54,1
Iraq,Iran,1,38,18,-42,45,0
Qatar,China PR,1,34,51,-1,-47,1
Uzbekistan,Kuwait,1,35,55,-4,-57,1
Jordan,Saudi Arabia,1,40,39,-23,-20,1
Australia,South Korea,1,21,20,24,44,0
Costa Rica,Honduras,1,28,50,-58,-86,0
United Arab Emirates,Iraq,1,41,38,9,-42,0
China PR,Uzbekistan,1,51,35,-47,-4,0
Qatar,Kuwait,1,34,55,-1,-57,1
Egypt,Uganda,1,25,48,1,-31,1
Saudi Arabia,Japan,1,39,16,-20,97,0
Australia,Bahrain,1,21,49,24,-54,1
Panama,El Salvador,1,24,47,-74,-93,1
United Arab Emirates,Iran,1,41,18,9,45,0
Honduras,El Salvador,1,50,47,-86,-93,1
Panama,Costa Rica,1,24,28,-74,-58,0
Qatar,Japan,1,34,16,-1,97,0
Uzbekistan,Jordan,1,35,40,-4,-23,1
Australia,Iraq,1,21,38,24,-42,1
Iran,South Korea,1,18,20,45,44,0
United States,Chile,1,14,37,57,10,0
Honduras,Costa Rica,1,50,28,-86,-58,1
Panama,El Salvador,1,24,47,-74,-93,0
Japan,South Korea,1,16,20,97,44,0
Uzbekistan,Australia,1,35,21,-4,24,0
Uzbekistan,South Korea,1,35,20,-4,44,0
Australia,Japan,1,21,16,24,97,0
Peru,Panama,1,29,24,-42,-74,1
Argentina,Portugal,1,1,6,108,77,1
Denmark,England,1,19,4,-9,42,0
France,Brazil,1,3,5,72,187,1
Germany,Italy,1,9,11,52,-2,0
Spain,Colombia,1,2,13,103,66,1
Turkey,South Korea,1,22,20,-20,44,0
Bahrain,Kuwait,1,49,55,-54,-57,0
Estonia,Uruguay,1,54,15,-118,45,1
South Korea,Honduras,1,20,50,44,-86,1
Costa Rica,China PR,1,28,51,-58,-47,0
Jordan,Kuwait,1,40,55,-23,-57,0
Portugal,Chile,1,6,37,77,10,0
South Africa,Egypt,1,36,25,-7,1,1
United States,Argentina,1,14,1,57,108,0
China PR,Honduras,1,51,50,-47,-86,1
Colombia,Chile,1,13,37,66,10,0
Costa Rica,Argentina,1,28,1,-58,108,0
El Salvador,Jamaica,1,47,42,-93,-79,0
England,Ghana,1,4,44,42,-12,0
France,Croatia,1,3,10,72,-5,0
Germany,Australia,1,9,21,52,24,0
Kuwait,Iraq,1,55,38,-57,-42,1
Oman,Tunisia,1,45,32,-31,-6,1
El Salvador,Honduras,1,47,50,-93,-86,0
Germany,Uruguay,1,9,15,52,45,1
Japan,Peru,1,16,29,97,-42,0
Nigeria,Argentina,1,30,1,-12,108,1
Belgium,Turkey,1,8,22,63,-20,0
Italy,Estonia,1,11,54,-2,-118,1
Brazil,Netherlands,1,5,7,187,47,0
England,Switzerland,1,4,17,42,4,0
Iceland,Denmark,1,43,19,-81,-9,0
United States,Spain,1,14,2,57,103,0
China PR,Uzbekistan,1,51,35,-47,-4,1
Egypt,South Africa,1,25,36,1,-7,0
Mexico,El Salvador,1,12,47,62,-93,1
Poland,Argentina,1,27,1,-33,108,1
South Korea,Ghana,1,20,44,44,-12,1
Uruguay,Netherlands,1,15,7,45,47,0
Costa Rica,El Salvador,1,28,47,-58,-93,0
Poland,France,1,27,3,-33,72,0
United States,Panama,1,14,24,57,-74,0
Mexico,Costa Rica,1,12,28,62,-58,1
Honduras,Jamaica,1,50,42,-86,-79,0
Costa Rica,Honduras,1,28,50,-58,-86,0
Chile,Estonia,1,37,54,10,-118,1
Panama,El Salvador,1,24,47,-74,-93,0
United States,Jamaica,1,14,42,57,-79,1
Honduras,Mexico,1,50,12,-86,62,0
United States,Panama,1,14,24,57,-74,1
Uruguay,Estonia,1,15,54,45,-118,1
United States,Mexico,1,14,12,57,62,0
Colombia,Costa Rica,3,13,28,66,-58,1
Chile,Mexico,3,37,12,10,62,1
Uruguay,Peru,3,15,29,45,-42,0
Argentina,Colombia,3,1,13,108,66,0
Kuwait,Oman,1,55,45,-57,-31,0
Peru,Mexico,3,29,12,-42,62,1
Uruguay,Chile,3,15,37,45,10,0
Argentina,Costa Rica,3,1,28,108,-58,1
Chile,Peru,3,37,29,10,-42,1
Uruguay,Mexico,3,15,12,45,62,1
Iraq,Kuwait,1,38,55,-42,-57,0
Jordan,Saudi Arabia,1,40,39,-23,-20,0
Argentina,Uruguay,3,1,15,108,45,0
Colombia,Peru,3,13,29,66,-42,0
Jordan,Iraq,1,40,38,-23,-42,0
Kuwait,Saudi Arabia,1,55,39,-57,-20,1
Peru,Uruguay,3,29,15,-42,45,0
China PR,Jamaica,1,51,42,-47,-79,1
France,Chile,1,3,37,72,10,0
Germany,Brazil,1,9,5,52,187,1
Italy,Spain,1,11,2,-2,103,1
Japan,South Korea,1,16,20,97,44,1
Oman,Bahrain,1,45,49,-31,-54,0
Turkey,Estonia,1,22,54,-20,-118,1
United States,Mexico,1,14,12,57,62,0
Qatar,Iraq,1,34,38,-1,-42,0
Jordan,Tunisia,1,40,32,-23,-6,0
United Arab Emirates,Qatar,1,41,34,9,-1,1
Oman,Kuwait,1,45,55,-31,-57,1
Australia,Thailand,1,21,52,24,-50,1
Bahrain,Qatar,1,49,34,-54,-1,0
Iraq,Jordan,1,38,40,-42,-23,0
Oman,Saudi Arabia,1,45,39,-31,-20,0
Poland,Mexico,1,27,12,-33,62,0
Spain,Chile,1,2,37,103,10,1
United Arab Emirates,Kuwait,1,41,55,9,-57,0
United States,Costa Rica,1,14,28,57,-58,0
Honduras,Colombia,1,50,13,-86,66,0
Mexico,Chile,1,12,37,62,10,1
Brazil,Ghana,1,5,44,187,-12,1
Argentina,Nigeria,1,1,30,108,-12,1
Belgium,United States,1,8,14,63,57,1
Jamaica,Colombia,1,42,13,-79,66,0
Jordan,China PR,1,40,51,-23,-47,1
Kuwait,South Korea,1,55,20,-57,44,0
Poland,Germany,1,27,9,-33,52,0
Qatar,Iran,1,34,18,-1,45,0
Saudi Arabia,Australia,1,39,21,-20,24,0
Thailand,Oman,1,52,45,-50,-31,1
Uzbekistan,Japan,1,35,16,-4,97,0
Argentina,Brazil,1,1,5,108,187,0
Brazil,Argentina,1,5,1,187,108,1
China PR,United Arab Emirates,1,51,41,-47,9,1
Thailand,Jordan,1,52,40,-50,-23,0
Argentina,Chile,1,1,37,108,10,1
Australia,Malaysia,1,21,53,24,-76,1
Costa Rica,Brazil,1,28,5,-58,187,0
South Korea,Poland,1,20,27,44,-33,0
Portugal,Iceland,1,6,43,77,-81,1
Turkey,Germany,1,22,9,-20,52,0
United States,Honduras,1,14,50,57,-86,1
Australia,Oman,1,21,45,24,-31,1
Chile,Peru,1,37,29,10,-42,1
China PR,Iraq,1,51,38,-47,-42,0
Denmark,Portugal,1,19,6,-9,77,1
Germany,Belgium,1,9,8,52,63,1
Ghana,Nigeria,1,44,30,-12,-12,0
Honduras,Jamaica,1,50,42,-86,-79,1
Iran,Bahrain,1,18,49,45,-54,1
South Korea,United Arab Emirates,1,20,41,44,9,1
Mexico,Brazil,1,12,5,62,187,0
Sweden,Netherlands,1,23,7,-1,47,1
Thailand,Saudi Arabia,1,52,39,-50,-20,0
Kuwait,Bahrain,1,55,49,-57,-54,0
Qatar,Oman,1,34,45,-1,-31,0
Bahrain,Iran,1,49,18,-54,45,0
Denmark,Sweden,1,19,23,-9,-1,1
France,United States,1,3,14,72,57,1
Iraq,China PR,1,38,51,-42,-47,1
Netherlands,Switzerland,1,7,17,47,4,0
Oman,Australia,1,45,21,-31,24,1
Panama,Costa Rica,1,24,28,-74,-58,1
Poland,Italy,1,27,11,-33,-2,0
Saudi Arabia,Thailand,1,39,52,-20,-50,1
Turkey,Croatia,1,22,10,-20,-5,0
United Arab Emirates,South Korea,1,41,20,9,44,0
Uruguay,Chile,1,15,37,45,10,1
Algeria,Tunisia,1,26,32,7,-6,1
England,Spain,1,4,2,42,103,1
South Africa,Ivory Coast,1,36,31,-7,0,0
Brazil,Egypt,1,5,25,187,1,1
Colombia,Argentina,1,13,1,66,108,0
Costa Rica,Spain,1,28,2,-58,103,0
Croatia,Turkey,1,10,22,-5,-20,0
England,Sweden,1,4,23,42,-1,1
France,Belgium,1,3,8,72,63,0
Germany,Netherlands,1,9,7,52,47,1
Italy,Uruguay,1,11,15,-2,45,0
Jordan,Iraq,1,40,38,-23,-42,0
Kuwait,United Arab Emirates,1,55,41,-57,9,1
Nigeria,Zambia,1,30,46,-12,-25,1
Qatar,Bahrain,1,34,49,-1,-54,0
Saudi Arabia,Oman,1,39,45,-20,-31,0
Thailand,Australia,1,52,21,-50,24,0
Tunisia,Ivory Coast,1,32,31,-6,0,0
Kuwait,Uzbekistan,1,55,35,-57,-4,1
Bahrain,Sweden,1,49,23,-54,-1,0
Panama,United States,1,24,14,-74,57,0
United Arab Emirates,Uzbekistan,1,41,35,9,-4,1
Ghana,Tunisia,1,44,32,-12,-6,1
Zambia,Ghana,1,46,44,-25,-12,1
Zambia,Ivory Coast,1,46,31,-25,0,0
China PR,Kuwait,1,51,55,-47,-57,1
Iran,Jordan,1,18,40,45,-23,0
Japan,Iceland,1,16,43,97,-81,1
South Korea,Uzbekistan,1,20,35,44,-4,1
Australia,Saudi Arabia,1,21,39,24,-20,1
Chile,Ghana,1,37,44,10,-12,0
China PR,Jordan,1,51,40,-47,-23,1
Croatia,Sweden,1,10,23,-5,-1,0
El Salvador,Estonia,1,47,54,-93,-118,0
England,Netherlands,1,4,7,42,47,0
Germany,France,1,9,3,52,72,0
Iran,Qatar,1,18,34,45,-1,0
Italy,United States,1,11,14,-2,57,0
Japan,Uzbekistan,1,16,35,97,-4,0
South Korea,Kuwait,1,20,55,44,-57,1
Mexico,Colombia,1,12,13,62,66,0
Oman,Thailand,1,45,52,-31,-50,1
Poland,Portugal,1,27,6,-33,77,0
Switzerland,Argentina,1,17,1,4,108,0
Tunisia,Peru,1,32,29,-6,-42,0
Chile,Peru,1,37,29,10,-42,1
Jamaica,Costa Rica,1,42,28,-79,-58,0
Egypt,Uganda,1,25,48,1,-31,1
Costa Rica,Honduras,1,28,50,-58,-86,0
Peru,Chile,1,29,37,-42,10,0
Egypt,Nigeria,1,25,30,1,-12,1
Egypt,Iraq,1,25,38,1,-42,0
Egypt,Cameroon,1,25,33,1,-23,1
Peru,Nigeria,1,29,30,-42,-12,1
Croatia,Estonia,1,10,54,-5,-118,1
Denmark,Brazil,1,19,5,-9,187,0
Switzerland,Germany,1,17,9,4,52,1
France,Iceland,1,3,43,72,-81,1
Jamaica,Panama,1,42,24,-79,-74,0
Spain,South Korea,1,2,20,103,44,1
Sweden,Iceland,1,23,43,-1,-81,1
United States,Brazil,1,14,5,57,187,0
Panama,Jamaica,1,24,42,-74,-79,1
Denmark,Australia,1,19,21,-9,24,1
El Salvador,Honduras,1,47,50,-93,-86,0
England,Belgium,1,4,8,42,63,1
Portugal,Turkey,1,6,22,77,-20,0
Japan,Oman,1,16,45,97,-31,1
Jordan,Iraq,1,40,38,-23,-42,0
Mexico,Brazil,1,12,5,62,187,1
Peru,Colombia,1,29,13,-42,66,0
Spain,China PR,1,2,51,103,-47,1
Uzbekistan,Iran,1,35,18,-4,45,0
France,Estonia,1,3,54,72,-118,1
Bahrain,Kuwait,1,49,55,-54,-57,0
Costa Rica,El Salvador,1,28,47,-58,-93,0
Honduras,Panama,1,50,24,-86,-74,0
Japan,Jordan,1,16,40,97,-23,1
Oman,Australia,1,45,21,-31,24,0
Qatar,South Korea,1,34,20,-1,44,0
Brazil,Argentina,1,5,1,187,108,0
Germany,Portugal,3,9,6,52,77,1
Netherlands,Denmark,3,7,19,47,-9,0
Zambia,Ghana,1,46,44,-25,-12,1
Spain,Italy,3,2,11,103,-2,0
Uruguay,Peru,1,15,29,45,-42,1
France,England,3,3,4,72,42,0
Australia,Japan,1,21,16,24,97,0
Bahrain,Kuwait,1,49,55,-54,-57,0
El Salvador,Mexico,1,47,12,-93,62,0
Iran,Qatar,1,18,34,45,-1,0
Iraq,Oman,1,38,45,-42,-31,0
Denmark,Portugal,3,19,6,-9,77,0
Netherlands,Germany,3,7,9,47,52,0
Italy,Croatia,3,11,10,-2,-5,0
Sweden,England,3,23,4,-1,42,0
Denmark,Germany,3,19,9,-9,52,0
Portugal,Netherlands,3,6,7,77,47,1
Croatia,Spain,3,10,2,-5,103,0
Sweden,France,3,23,3,-1,72,1
Saudi Arabia,Kuwait,1,39,55,-20,-57,1
Spain,France,3,2,3,103,72,1
England,Italy,3,4,11,42,-2,0
Portugal,Spain,3,6,2,77,103,0
Germany,Italy,3,9,11,52,-2,0
Spain,Italy,3,2,11,103,-2,1
Saudi Arabia,Iraq,1,39,38,-20,-42,0
Jordan,Uzbekistan,1,40,35,-23,-4,0
Belgium,Netherlands,1,8,7,63,47,1
China PR,Ghana,1,51,44,-47,-12,0
Costa Rica,Peru,1,28,29,-58,-42,0
Croatia,Switzerland,1,10,17,-5,4,0
El Salvador,Jamaica,1,47,42,-93,-79,0
England,Italy,1,4,11,42,-2,1
Estonia,Poland,1,54,27,-118,-33,1
France,Uruguay,1,3,15,72,45,0
Germany,Argentina,1,9,1,52,108,0
Iran,Tunisia,1,18,32,45,-6,0
Jordan,Uzbekistan,1,40,35,-23,-4,1
South Korea,Zambia,1,20,46,44,-25,1
Mexico,United States,1,12,14,62,57,0
Oman,Egypt,1,45,25,-31,1,0
Portugal,Panama,1,6,24,77,-74,1
Sweden,Brazil,1,23,5,-1,187,0
Jordan,Iran,1,40,18,-23,45,0
Japan,United Arab Emirates,1,16,41,97,9,1
Sweden,China PR,1,23,51,-1,-47,1
Brazil,South Africa,1,5,36,187,-7,1
Colombia,Uruguay,1,13,15,66,45,1
Costa Rica,Mexico,1,28,12,-58,62,0
Jamaica,United States,1,42,14,-79,57,1
Netherlands,Turkey,1,7,22,47,-20,1
Spain,Saudi Arabia,1,2,39,103,-20,1
Uzbekistan,Kuwait,1,35,55,-4,-57,1
Zambia,Uganda,1,46,48,-25,-31,1
Brazil,China PR,1,5,51,187,-47,1
Belgium,Croatia,1,8,10,63,-5,0
Chile,Colombia,1,37,13,10,66,0
Japan,Iraq,1,16,38,97,-42,1
Jordan,Australia,1,40,21,-23,24,1
Mexico,Costa Rica,1,12,28,62,-58,1
Peru,Argentina,1,29,1,-42,108,0
Turkey,Estonia,1,22,54,-20,-118,1
United Arab Emirates,Kuwait,1,41,55,9,-57,1
United States,Jamaica,1,14,42,57,-79,1
Uzbekistan,South Korea,1,35,20,-4,44,0
Brazil,Argentina,1,5,1,187,108,1
Brazil,Iraq,1,5,38,187,-42,1
Argentina,Uruguay,1,1,15,108,45,1
El Salvador,Costa Rica,1,47,28,-93,-58,0
France,Japan,1,3,16,72,97,0
Panama,Honduras,1,24,50,-74,-86,0
Poland,South Africa,1,27,36,-33,-7,1
United Arab Emirates,Uzbekistan,1,41,35,9,-4,0
Uganda,Zambia,1,48,46,-31,-25,1
Chile,Argentina,1,37,1,10,108,0
Colombia,Cameroon,1,13,33,66,-23,1
Egypt,Tunisia,1,25,32,1,-6,0
Germany,Sweden,1,9,23,52,-1,0
Iceland,Switzerland,1,43,17,-81,4,0
Iran,South Korea,1,18,20,45,44,1
Iraq,Australia,1,38,21,-42,24,0
Italy,Denmark,1,11,19,-2,-9,1
Japan,Brazil,1,16,5,97,187,0
Mexico,El Salvador,1,12,47,62,-93,1
Oman,Jordan,1,45,40,-31,-23,1
Qatar,Uzbekistan,1,34,35,-1,-4,0
Spain,France,1,2,3,103,72,0
