home_team,away_team,tournament_rank,home_rank,away_rank,home_team_gd,away_team_gd,target
England,Ivory Coast,1,4,31,42,0,1
France,South Africa,1,3,36,72,-7,1
Netherlands,Germany,1,7,9,47,52,0
Spain,Iceland,1,2,43,103,-81,1
Turkey,Italy,1,22,11,-20,-2,0
Uzbekistan,Uganda,1,35,48,-4,-31,1
Mexico,El Salvador,1,12,47,62,-93,1
Costa Rica,United States,1,28,14,-58,57,1
Jamaica,Honduras,1,42,50,-79,-86,1
Thailand,Bahrain,1,52,49,-50,-54,1
Mexico,Nigeria,1,12,30,62,-12,1
Thailand,Bahrain,1,52,49,-50,-54,0
Italy,Argentina,1,11,1,-2,108,0
Australia,Jordan,1,21,40,24,-23,1
Panama,Costa Rica,1,24,28,-74,-58,1
Spain,Portugal,2,2,6,103,77,0
South Korea,Brazil,1,20,5,44,187,0
Mexico,Uruguay,1,12,15,62,45,0
Ivory Coast,Zambia,1,31,46,0,-25,1
France,Denmark,2,3,19,72,-9,0
Belgium,Netherlands,2,8,7,63,47,0
Algeria,Uganda,1,26,48,7,-31,1
Italy,Germany,2,11,9,-2,52,0
Portugal,Switzerland,2,6,17,77,4,1
Argentina,Estonia,1,1,54,108,-118,1
Saudi Arabia,Colombia,1,39,13,-20,66,0
United States,Uruguay,1,14,15,57,45,0
Croatia,France,2,10,3,-5,72,0
South Korea,Chile,1,20,37,44,10,1
Japan,Brazil,1,16,5,97,187,0
Germany,England,2,9,4,52,42,0
United Arab Emirates,Australia,1,41,21,9,24,0
Belgium,Poland,2,8,27,63,-33,1
Switzerland,Spain,2,17,2,4,103,0
Denmark,Croatia,2,19,10,-9,-5,0
Chile,Tunisia,1,37,32,10,-6,0
Japan,Ghana,1,16,44,97,-12,1
Malaysia,Bahrain,1,53,49,-76,-54,0
England,Italy,2,4,11,42,-2,0
Netherlands,Poland,2,7,27,47,-33,0
Uruguay,Panama,1,15,24,45,-74,1
Switzerland,Portugal,2,17,6,4,77,1
Iran,Algeria,1,18,26,45,7,0
Australia,Peru,1,21,29,24,-42,0
France,Croatia,2,3,10,72,-5,0
Kuwait,Jordan,1,55,40,-57,-23,0
Uzbekistan,Thailand,1,35,52,-4,-50,1
Jamaica,Mexico,1,42,12,-79,62,0
El Salvador,United States,1,47,14,-93,57,0
Germany,Italy,2,9,11,52,-2,1
Poland,Belgium,2,27,8,-33,63,0
Chile,Ghana,1,37,44,10,-12,0
Japan,Tunisia,1,16,32,97,-6,0
South Korea,Egypt,1,20,25,44,1,1
China PR,South Korea,1,51,20,-47,44,0
Japan,China PR,1,16,51,97,-47,0
Japan,South Korea,1,16,20,97,44,1
Thailand,Malaysia,1,52,53,-50,-76,0
Croatia,Denmark,2,10,19,-5,-9,1
Poland,Netherlands,2,27,7,-33,47,0
Japan,United States,1,16,14,97,57,1
Argentina,Honduras,1,1,50,108,-86,1
Brazil,Ghana,1,5,44,187,-12,1
Cameroon,Uzbekistan,1,33,35,-23,-4,0
Iran,Uruguay,1,18,15,45,45,1
Iraq,Oman,1,38,45,-42,-31,0
South Korea,Costa Rica,1,20,28,44,-58,0
Italy,England,2,11,4,-2,42,1
Mexico,Peru,1,12,29,62,-42,1
Spain,Switzerland,2,2,17,103,4,0
Denmark,France,2,19,3,-9,72,1
Netherlands,Belgium,2,7,8,47,63,1
Jordan,Oman,1,40,45,-23,-31,1
England,Germany,2,4,9,42,52,0
Algeria,Nigeria,1,26,30,7,-12,1
Argentina,Jamaica,1,1,42,108,-79,1
Bahrain,Panama,1,49,24,-54,-74,0
Brazil,Tunisia,1,5,32,187,-6,1
Costa Rica,Uzbekistan,1,28,35,-58,-4,1
South Korea,Cameroon,1,20,33,44,-23,1
Mexico,Colombia,1,12,13,62,66,0
Peru,El Salvador,1,29,47,-42,-93,1
Qatar,Chile,1,34,37,-1,10,0
Saudi Arabia,United States,1,39,14,-20,57,0
Portugal,Spain,2,6,2,77,103,0
Qatar,Honduras,1,34,50,-1,-86,1
Saudi Arabia,Honduras,1,39,50,-20,-86,0
Saudi Arabia,Iceland,1,39,43,-20,-81,1
Qatar,Panama,1,34,24,-1,-74,1
Cameroon,Jamaica,1,33,42,-23,-79,0
Costa Rica,Nigeria,1,28,30,-58,-12,1
Mexico,Iraq,1,12,38,62,-42,1
Saudi Arabia,Panama,1,39,24,-20,-74,0
South Korea,Iceland,1,20,43,44,-81,1
Iran,Tunisia,1,18,32,45,-6,0
Mexico,Sweden,1,12,23,62,-1,0
Oman,Germany,1,45,9,-31,52,0
Poland,Chile,1,27,37,-33,10,1
Saudi Arabia,Croatia,1,39,10,-20,-5,0
United Arab Emirates,Argentina,1,41,1,9,108,0
Jordan,Spain,1,40,2,-23,103,0
Portugal,Nigeria,1,6,30,77,-12,1
Switzerland,Ghana,1,17,44,4,-12,0
Cameroon,Panama,1,33,24,-23,-74,0
Egypt,Belgium,1,25,8,1,63,1
Sweden,Algeria,1,23,26,-1,7,1
England,Iran,3,4,18,42,45,1
Argentina,Saudi Arabia,3,1,39,108,-20,0
Mexico,Poland,3,12,27,62,-33,0
Denmark,Tunisia,3,19,32,-9,-6,0
France,Australia,3,3,21,72,24,1
Germany,Japan,3,9,16,52,97,0
Spain,Costa Rica,3,2,28,103,-58,1
Switzerland,Cameroon,3,17,33,4,-23,1
Uruguay,South Korea,3,15,20,45,44,0
Portugal,Ghana,3,6,44,77,-12,1
England,United States,3,4,14,42,57,0
Poland,Saudi Arabia,3,27,39,-33,-20,1
Argentina,Mexico,3,1,12,108,62,1
Tunisia,Australia,3,32,21,-6,24,0
France,Denmark,3,3,19,72,-9,1
Japan,Costa Rica,3,16,28,97,-58,0
Spain,Germany,3,2,9,103,52,0
Brazil,Switzerland,3,5,17,187,4,1
South Korea,Ghana,3,20,44,44,-12,0
Portugal,Uruguay,3,6,15,77,45,1
Qatar,Netherlands,3,34,7,-1,47,0
Iran,United States,3,18,14,45,57,0
Poland,Argentina,3,27,1,-33,108,0
Saudi Arabia,Mexico,3,39,12,-20,62,0
Australia,Denmark,3,21,19,24,-9,1
Tunisia,France,3,32,3,-6,72,1
Japan,Spain,3,16,2,97,103,1
Costa Rica,Germany,3,28,9,-58,52,0
Croatia,Belgium,3,10,8,-5,63,0
Cameroon,Brazil,3,33,5,-23,187,1
Ghana,Uruguay,3,44,15,-12,45,0
South Korea,Portugal,3,20,6,44,77,1
Netherlands,United States,3,7,14,47,57,1
Argentina,Australia,3,1,21,108,24,1
France,Poland,3,3,27,72,-33,1
Japan,Croatia,3,16,10,97,-5,0
Brazil,South Korea,3,5,20,187,44,1
Portugal,Switzerland,3,6,17,77,4,1
Croatia,Brazil,3,10,5,-5,187,0
Netherlands,Argentina,3,7,1,47,108,0
England,France,3,4,3,42,72,0
Argentina,Croatia,3,1,10,108,-5,1
Argentina,France,3,1,3,108,72,0
Iraq,Kuwait,1,38,55,-42,-57,1
Iraq,Oman,1,38,45,-42,-31,0
Bahrain,United Arab Emirates,1,49,41,-54,9,1
Kuwait,Qatar,1,55,34,-57,-1,0
Malaysia,Thailand,1,53,52,-76,-50,1
Iceland,Estonia,1,43,54,-81,-118,0
Iraq,Saudi Arabia,1,38,39,-42,-20,1
United Arab Emirates,Kuwait,1,41,55,9,-57,0
Qatar,Bahrain,1,34,49,-1,-54,0
Thailand,Malaysia,1,52,53,-50,-76,1
Sweden,Iceland,1,23,43,-1,-81,1
Saudi Arabia,Oman,1,39,45,-20,-31,0
Bahrain,Kuwait,1,49,55,-54,-57,0
Qatar,United Arab Emirates,1,34,41,-1,9,0
Iraq,Qatar,1,38,34,-42,-1,1
Bahrain,Oman,1,49,45,-54,-31,0
Iraq,Oman,1,38,45,-42,-31,1
United States,Colombia,1,14,13,57,66,0
Honduras,El Salvador,1,50,47,-86,-93,1
Argentina,Panama,1,1,24,108,-74,1
Italy,England,1,11,4,-2,42,0
Japan,Uruguay,1,16,15,97,45,0
South Korea,Colombia,1,20,13,44,66,0
France,Netherlands,1,3,7,72,47,1
Sweden,Belgium,1,23,8,-1,63,0
Germany,Peru,1,9,29,52,-42,1
Mexico,Jamaica,1,12,42,62,-79,0
United States,El Salvador,1,14,47,57,-93,1
Germany,Belgium,1,9,8,52,63,0
Japan,Colombia,1,16,13,97,66,0
South Korea,Uruguay,1,20,15,44,45,0
United Arab Emirates,Thailand,1,41,52,9,-50,1
Turkey,Croatia,1,22,10,-20,-5,0
Costa Rica,Panama,1,28,24,-58,-74,0
United States,Mexico,1,14,12,57,62,0
Mexico,Cameroon,1,12,33,62,-23,0
Uzbekistan,Oman,1,35,45,-4,-31,1
Netherlands,Croatia,2,7,10,47,-5,0
United States,Mexico,1,14,12,57,62,1
Argentina,Australia,1,1,21,108,24,1
Jamaica,Qatar,1,42,34,-79,-1,0
Japan,El Salvador,1,16,47,97,-93,1
Spain,Italy,2,2,11,103,-2,1
Colombia,Iraq,1,13,38,66,-42,1
South Korea,Peru,1,20,29,44,-42,0
Poland,Germany,1,27,9,-33,52,1
Zambia,Ivory Coast,1,46,31,-25,0,1
Panama,Mexico,1,24,12,-74,62,0
Netherlands,Italy,2,7,11,47,-2,0
Croatia,Spain,2,10,2,-5,103,0
Uganda,Algeria,1,48,26,-31,7,0
Jamaica,Jordan,1,42,40,-79,-23,0
Algeria,Tunisia,1,26,32,7,-6,0
Germany,Colombia,1,9,13,52,66,0
Japan,Peru,1,16,29,97,-42,1
South Korea,El Salvador,1,20,47,44,-93,0
Estonia,Belgium,1,54,8,-118,63,0
Iceland,Portugal,1,43,6,-81,77,0
Uzbekistan,Iran,1,35,18,-4,45,0
United States,Jamaica,1,14,42,57,-79,0
Mexico,Honduras,1,12,50,62,-86,1
Costa Rica,Panama,1,28,24,-58,-74,0
Qatar,Honduras,1,34,50,-1,-86,0
El Salvador,Costa Rica,1,47,28,-93,-58,0
Mexico,Qatar,1,12,34,62,-1,0
Panama,El Salvador,1,24,47,-74,-93,0
Panama,Qatar,1,24,34,-74,-1,1
Mexico,Costa Rica,1,12,28,62,-58,1
United States,Panama,1,14,24,57,-74,0
Jamaica,Mexico,1,42,12,-79,62,0
South Africa,Zambia,1,36,46,-7,-25,0
Mexico,Panama,1,12,24,62,-74,1
Bahrain,Kuwait,1,49,55,-54,-57,0
Jamaica,Honduras,1,42,50,-79,-86,1
Uruguay,Chile,1,15,37,45,10,1
Costa Rica,Saudi Arabia,1,28,39,-58,-20,1
China PR,Malaysia,1,51,53,-47,-76,0
Germany,Japan,1,9,16,52,97,0
Mexico,Australia,1,12,21,62,24,0
United States,Uzbekistan,1,14,35,57,-4,1
Estonia,Sweden,1,54,23,-118,-1,0
Thailand,Iraq,1,52,38,-50,-42,0
Peru,Brazil,1,29,5,-42,187,0
Chile,Colombia,1,37,13,10,66,0
Egypt,Tunisia,1,25,32,1,-6,0
Germany,France,1,9,3,52,72,1
Japan,Turkey,1,16,22,97,-20,1
South Korea,Saudi Arabia,1,20,39,44,-20,1
Mexico,Uzbekistan,1,12,35,62,-4,0
United Arab Emirates,Costa Rica,1,41,28,9,-58,1
United States,Oman,1,14,45,57,-31,1
Belgium,Estonia,1,8,54,63,-118,1
Colombia,Uruguay,1,13,15,66,45,0
Chile,Peru,1,37,29,10,-42,1
Egypt,Zambia,1,25,46,1,-25,1
Croatia,Turkey,1,10,22,-5,-20,0
England,Australia,1,4,21,42,24,1
Iraq,Qatar,1,38,34,-42,-1,0
South Korea,Tunisia,1,20,32,44,-6,1
Nigeria,Saudi Arabia,1,30,39,-12,-20,0
Netherlands,France,1,7,3,47,72,0
Mexico,Ghana,1,12,44,62,-12,1
United States,Germany,1,14,9,57,52,0
Algeria,Egypt,1,26,25,7,1,0
China PR,Uzbekistan,1,51,35,-47,-4,0
Belgium,Sweden,1,8,23,63,-1,0
Peru,Argentina,1,29,1,-42,108,0
Uruguay,Brazil,1,15,5,45,187,1
Estonia,Thailand,1,54,52,-118,-50,0
Ivory Coast,South Africa,1,31,36,0,-7,0
Mexico,Germany,1,12,9,62,52,0
United States,Ghana,1,14,44,57,-12,1
Zambia,Uganda,1,46,48,-25,-31,1
England,Italy,1,4,11,42,-2,1
United Arab Emirates,Kuwait,1,41,55,9,-57,1
Costa Rica,Panama,1,28,24,-58,-74,0
Colombia,Brazil,1,13,5,66,187,1
Argentina,Uruguay,1,1,15,108,45,0
Thailand,China PR,1,52,51,-50,-47,0
Honduras,Mexico,1,50,12,-86,62,1
Germany,Turkey,1,9,22,52,-20,0
Sweden,Estonia,1,23,54,-1,-118,1
Portugal,Iceland,1,6,43,77,-81,1
Panama,Costa Rica,1,24,28,-74,-58,1
Mexico,Honduras,1,12,50,62,-86,1
Brazil,Argentina,1,5,1,187,108,0
China PR,South Korea,1,51,20,-47,44,0
Uzbekistan,Iran,1,35,18,-4,45,0
Jordan,Saudi Arabia,1,40,39,-23,-20,0
Bahrain,United Arab Emirates,1,49,41,-54,9,0
Mexico,Colombia,1,12,13,62,66,0
Japan,Thailand,1,16,52,97,-50,1
Qatar,Jordan,1,34,40,-1,-23,0
Iraq,South Korea,1,38,20,-42,44,0
Bahrain,Australia,1,49,21,-54,24,0
United Arab Emirates,Oman,1,41,45,9,-31,0
Japan,Jordan,1,16,40,97,-23,1
Zambia,Cameroon,1,46,33,-25,-23,0
Sweden,Estonia,1,23,54,-1,-118,1
South Korea,Bahrain,1,20,49,44,-54,1
Malaysia,Jordan,1,53,40,-76,-23,0
Saudi Arabia,Oman,1,39,45,-20,-31,1
Honduras,Iceland,1,50,43,-86,-81,0
Ivory Coast,Nigeria,1,31,30,0,-12,0
Egypt,Ghana,1,25,44,1,-12,0
Iraq,Japan,1,38,16,-42,97,1
Kuwait,Uganda,1,55,48,-57,-31,0
Jordan,South Korea,1,40,20,-23,44,0
Bahrain,Malaysia,1,49,53,-54,-76,1
Oman,Thailand,1,45,52,-31,-50,0
Qatar,China PR,1,34,51,-1,-47,1
Australia,Uzbekistan,1,21,35,24,-4,0
Iran,United Arab Emirates,1,18,41,45,9,1
South Africa,Tunisia,1,36,32,-7,-6,0
Jordan,Bahrain,1,40,49,-23,-54,0
South Korea,Malaysia,1,20,53,44,-76,0
Saudi Arabia,Thailand,1,39,52,-20,-50,0
Nigeria,Cameroon,1,30,33,-12,-23,1
Iraq,Jordan,1,38,40,-42,-23,0
Saudi Arabia,South Korea,1,39,20,-20,44,0
Uzbekistan,Thailand,1,35,52,-4,-50,1
Bahrain,Japan,1,49,16,-54,97,0
Australia,South Korea,1,21,20,24,44,0
Iran,Japan,1,18,16,45,97,1
Qatar,Uzbekistan,1,34,35,-1,-4,0
Costa Rica,El Salvador,1,28,47,-58,-93,1
Jordan,South Korea,1,40,20,-23,44,1
Qatar,Iran,1,34,18,-1,45,1
Nigeria,South Africa,1,30,36,-12,-7,0
Qatar,Jordan,1,34,40,-1,-23,1
Ivory Coast,Nigeria,1,31,30,0,-12,1
Panama,Mexico,1,24,12,-74,62,0
United States,Jamaica,1,14,42,57,-79,1
Poland,Estonia,1,27,54,-33,-118,1
Qatar,Kuwait,1,34,55,-1,-57,1
South Korea,Thailand,1,20,52,44,-50,0
Oman,Malaysia,1,45,53,-31,-76,1
Portugal,Sweden,1,6,23,77,-1,1
Argentina,El Salvador,1,1,47,108,-93,1
Nigeria,Ghana,1,30,44,-12,-12,1
Spain,Colombia,1,2,13,103,66,0
Tunisia,Croatia,1,32,10,-6,-5,0
Costa Rica,Honduras,1,28,50,-58,-86,1
Denmark,Switzerland,1,19,17,-9,4,0
England,Brazil,1,4,5,42,187,0
France,Germany,1,3,9,72,52,0
Jamaica,Panama,1,42,24,-79,-74,1
United States,Mexico,1,14,12,57,62,1
Algeria,South Africa,1,26,36,7,-7,0
Egypt,Croatia,1,25,10,1,-5,0
Kuwait,Qatar,1,55,34,-57,-1,0
Thailand,South Korea,1,52,20,-50,44,0
Malaysia,Oman,1,53,45,-76,-31,0
Argentina,Costa Rica,1,1,28,108,-58,1
El Salvador,Honduras,1,47,50,-93,-86,0
England,Belgium,1,4,8,42,63,0
France,Chile,1,3,37,72,10,1
Germany,Netherlands,1,9,7,52,47,1
Ivory Coast,Uruguay,1,31,15,0,45,1
Spain,Brazil,1,2,5,103,187,0
Costa Rica,Uruguay,1,28,15,-58,45,0
Italy,Turkey,1,11,22,-2,-20,0
Switzerland,Estonia,1,17,54,4,-118,1
Denmark,Sweden,1,19,23,-9,-1,1
Mexico,Uruguay,1,12,15,62,45,0
China PR,Thailand,1,51,52,-47,-50,0
England,Iceland,1,4,43,42,-81,0
Nigeria,South Africa,1,30,36,-12,-7,0
Mexico,Brazil,1,12,5,62,187,0
Portugal,Croatia,1,6,10,77,-5,0
United States,Colombia,1,14,13,57,66,0
Netherlands,Iceland,1,7,43,47,-81,1
Poland,Turkey,1,27,22,-33,-20,1
Uganda,Algeria,1,48,26,-31,7,0
South Korea,China PR,1,20,51,44,-47,1
Iran,Uzbekistan,1,18,35,45,-4,0
Saudi Arabia,Jordan,1,39,40,-20,-23,0
United Arab Emirates,Bahrain,1,41,49,9,-54,0
United States,Brazil,1,14,5,57,187,0
El Salvador,Peru,1,47,29,-93,-42,0
Spain,Croatia,3,2,10,103,-5,1
Poland,Netherlands,3,27,7,-33,47,0
Spain,Italy,3,2,11,103,-2,1
Denmark,England,3,19,4,-9,42,0
Netherlands,France,3,7,3,47,72,0
Peru,Chile,3,29,37,-42,10,0
Turkey,Portugal,3,22,6,-20,77,0
Mexico,Jamaica,3,12,42,62,-79,1
Germany,Switzerland,3,9,17,52,4,0
Uruguay,Panama,3,15,24,45,-74,1
Croatia,Italy,3,10,11,-5,-2,0
Brazil,Costa Rica,3,5,28,187,-58,0
France,Poland,3,3,27,72,-33,0
Chile,Argentina,3,37,1,10,108,0
United States,Panama,3,14,24,57,-74,0
Colombia,Costa Rica,3,13,28,66,-58,1
Switzerland,Italy,3,17,11,4,-2,1
Germany,Denmark,3,9,19,52,-9,1
Argentina,Peru,3,1,29,108,-42,1
France,Belgium,3,3,8,72,63,1
United States,Uruguay,3,14,15,57,45,0
Brazil,Colombia,3,5,13,187,66,0
Germany,Spain,3,9,2,52,103,0
Portugal,France,3,6,3,77,72,0
England,Switzerland,3,4,17,42,4,0
Netherlands,Turkey,3,7,22,47,-20,1
Uruguay,Brazil,3,15,5,45,187,0
Colombia,Panama,3,13,24,66,-74,1
Spain,France,3,2,3,103,72,1
Netherlands,England,3,7,4,47,42,0
Uruguay,Colombia,3,15,13,45,66,0
Spain,England,3,2,4,103,42,1
Argentina,Colombia,3,1,13,108,66,1
Portugal,Croatia,2,6,10,77,-5,1
Denmark,Switzerland,2,19,17,-9,4,1
Argentina,Chile,1,1,37,108,10,1
Qatar,United Arab Emirates,1,34,41,-1,9,0
Iraq,Oman,1,38,45,-42,-31,1
Jordan,Kuwait,1,40,55,-23,-57,0
Japan,China PR,1,16,51,97,-47,1
Australia,Bahrain,1,21,49,24,-54,0
Ivory Coast,Zambia,1,31,46,0,-25,1
South Africa,Uganda,1,36,48,-7,-31,0
France,Italy,2,3,11,72,-2,0
Peru,Colombia,1,29,13,-42,66,0
Croatia,Poland,2,10,27,-5,-33,1
Switzerland,Spain,2,17,2,4,103,0
Sweden,Estonia,2,23,54,-1,-118,1
France,Belgium,2,3,8,72,63,1
Turkey,Iceland,2,22,43,-20,-81,1
Honduras,Jamaica,1,50,42,-86,-79,0
Netherlands,Germany,2,7,9,47,52,0
Colombia,Argentina,1,13,1,66,108,1
United Arab Emirates,Iran,1,41,18,9,45,0
Oman,South Korea,1,45,20,-31,44,0
Kuwait,Iraq,1,55,38,-57,-42,0
Bahrain,Japan,1,49,16,-54,97,0
China PR,Saudi Arabia,1,51,39,-47,-20,0
Italy,Belgium,2,11,8,-2,63,0
Chile,Brazil,1,37,5,10,187,0
Uzbekistan,Iran,1,35,18,-4,45,0
Jordan,South Korea,1,40,20,-23,44,0
Oman,Kuwait,1,45,55,-31,-57,1
Australia,China PR,1,21,51,24,-47,1
Saudi Arabia,Japan,1,39,16,-20,97,0
Peru,Uruguay,1,29,15,-42,45,1
United States,Panama,1,14,24,57,-74,1
Poland,Portugal,2,27,6,-33,77,0
Spain,Denmark,2,2,19,103,-9,1
Jamaica,Honduras,1,42,50,-79,-86,0
Belgium,France,2,8,3,63,72,0
Germany,Netherlands,2,9,7,52,47,1
Iceland,Turkey,2,43,22,-81,-20,0
Estonia,Sweden,2,54,23,-118,-1,0
Mexico,United States,1,12,14,62,57,1
Poland,Croatia,2,27,10,-33,-5,0
Switzerland,Denmark,2,17,19,4,-9,0
Colombia,Chile,1,13,37,66,10,1
Brazil,Peru,1,5,29,187,-42,1
Uzbekistan,United Arab Emirates,1,35,41,-4,9,1
Iran,Qatar,1,18,34,45,-1,1
Jordan,Oman,1,40,45,-23,-31,1
South Korea,Iraq,1,20,38,44,-42,1
Japan,Australia,1,16,21,97,24,0
Saudi Arabia,Bahrain,1,39,49,-20,-54,0
Belgium,Italy,2,8,11,63,-2,0
Costa Rica,Panama,1,28,24,-58,-74,0
Jamaica,United States,1,42,14,-79,57,0
Qatar,Uzbekistan,1,34,35,-1,-4,1
Kuwait,South Korea,1,55,20,-57,44,0
Iraq,Jordan,1,38,40,-42,-23,0
Bahrain,China PR,1,49,51,-54,-47,0
Australia,Saudi Arabia,1,21,39,24,-20,0
Portugal,Poland,2,6,27,77,-33,1
Denmark,Spain,2,19,2,-9,103,0
Honduras,Mexico,1,50,12,-86,62,1
Peru,Chile,1,29,37,-42,10,0
Uruguay,Colombia,1,15,13,45,66,1
Italy,France,2,11,3,-2,72,0
Croatia,Portugal,2,10,6,-5,77,0
Spain,Switzerland,2,2,17,103,4,1
Panama,Costa Rica,1,24,28,-74,-58,0
United States,Jamaica,1,14,42,57,-79,1
Mexico,Honduras,1,12,50,62,-86,1
Argentina,Peru,1,1,29,108,-42,1
Brazil,Uruguay,1,5,15,187,45,0
United Arab Emirates,Qatar,1,41,34,9,-1,1
Oman,Iraq,1,45,38,-31,-42,0
Kuwait,Jordan,1,55,40,-57,-23,0
Bahrain,Australia,1,49,21,-54,24,0
China PR,Japan,1,51,16,-47,97,0
Thailand,Malaysia,1,52,53,-50,-76,1
Kuwait,Oman,1,55,45,-57,-31,0
Qatar,United Arab Emirates,1,34,41,-1,9,0
Saudi Arabia,Bahrain,1,39,49,-20,-54,0
Oman,Qatar,1,45,34,-31,-1,1
Kuwait,United Arab Emirates,1,55,41,-57,9,1
Bahrain,Iraq,1,49,38,-54,-42,1
Kuwait,Qatar,1,55,34,-57,-1,0
United Arab Emirates,Oman,1,41,45,9,-31,0
Iraq,Saudi Arabia,1,38,39,-42,-20,0
Oman,Saudi Arabia,1,45,39,-31,-20,1
Kuwait,Bahrain,1,55,49,-57,-54,0
Oman,Bahrain,1,45,49,-31,-54,0
United States,Costa Rica,1,14,28,57,-58,1
Uzbekistan,Jordan,1,35,40,-4,-23,0
Chile,Panama,1,37,24,10,-74,1
United States,Panama,1,14,24,57,-74,0
Croatia,France,2,10,3,-5,72,1
Denmark,Portugal,2,19,6,-9,77,1
Italy,Germany,2,11,9,-2,52,0
Netherlands,Spain,2,7,2,47,103,0
Brazil,Colombia,1,5,13,187,66,1
Iran,United Arab Emirates,1,18,41,45,9,1
South Korea,Oman,1,20,45,44,-31,0
Iraq,Kuwait,1,38,55,-42,-57,0
Japan,Bahrain,1,16,49,97,-54,1
Saudi Arabia,China PR,1,39,51,-20,-47,1
Uruguay,Argentina,1,15,1,45,108,0
Panama,Mexico,1,24,12,-74,62,0
France,Croatia,2,3,10,72,-5,1
Germany,Italy,2,9,11,52,-2,0
Portugal,Denmark,2,6,19,77,-9,1
Spain,Netherlands,2,2,7,103,47,0
Argentina,Brazil,1,1,5,108,187,1
Iran,Uzbekistan,1,18,35,45,-4,0
South Korea,Jordan,1,20,40,44,-23,0
Kuwait,Oman,1,55,45,-57,-31,0
China PR,Australia,1,51,21,-47,24,0
Japan,Saudi Arabia,1,16,39,97,-20,0
Nigeria,Ghana,1,30,44,-12,-12,1
Saudi Arabia,Jordan,1,39,40,-20,-23,1
Jamaica,Nigeria,1,42,30,-79,-12,0
Germany,Portugal,2,9,6,52,77,0
Spain,France,2,2,3,103,72,1
Chile,Argentina,1,37,1,10,108,0
United Arab Emirates,Uzbekistan,1,41,35,9,-4,0
Qatar,Iran,1,34,18,-1,45,1
Oman,Jordan,1,45,40,-31,-23,0
Iraq,South Korea,1,38,20,-42,44,0
Bahrain,Saudi Arabia,1,49,39,-54,-20,0
Australia,Japan,1,21,16,24,97,1
Uganda,Cameroon,1,48,33,-31,-23,0
Colombia,Peru,1,13,29,66,-42,0
Mexico,Switzerland,1,12,17,62,4,0
United States,Turkey,1,14,22,57,-20,0
Germany,France,2,9,3,52,72,0
Portugal,Spain,2,6,2,77,103,0
Mexico,Turkey,1,12,22,62,-20,1
Sweden,Algeria,1,23,26,-1,7,1
United States,Switzerland,1,14,17,57,4,0
Argentina,Colombia,1,1,13,108,66,0
Uzbekistan,Qatar,1,35,34,-4,-1,1
South Korea,Kuwait,1,20,55,44,-57,1
Jordan,Iraq,1,40,38,-23,-42,0
China PR,Bahrain,1,51,49,-47,-54,1
Saudi Arabia,Australia,1,39,21,-20,24,0
United States,Saudi Arabia,1,14,39,57,-20,1
Honduras,El Salvador,1,50,47,-86,-93,1
Mexico,Costa Rica,1,12,28,62,-58,0
Panama,Jamaica,1,24,42,-74,-79,1
Panama,Honduras,1,24,50,-74,-86,0
Mexico,Saudi Arabia,1,12,39,62,-20,1
United States,Costa Rica,1,14,28,57,-58,0
Mexico,Honduras,1,12,50,62,-86,1
United States,Mexico,1,14,12,57,62,0
